Review,True Label,VADER,TextBlob,LogReg,SVM,LogReg_Score,SVM_Score,VADER_Score,TextBlob_Score,Real_Rating,Combined_LogReg,Combined_SVM,Combined_VADER,Combined_TextBlob
well i ordered a three and my child didnt get to fit them well until she got into a 5 or 6 the tie doesnt stay kept for long my child easily comes out them i love the texture and the authentic look but i dont like how the tongue easily comes out of the tie which makes it hard for my baby to keep them on and walk,Positive,Positive,Positive,Positive,Positive,5,5,5,5,3,3.5999999999999996,3.5999999999999996,3.5999999999999996,3.5999999999999996
i ordered two of the 18 silver box chains  first they arrived in record time i ordered from gem avenue and each were packaged securely and boxed separately the chains are exactly what i was hoping to receive  they are sturdy without looking cheap and actuallly look very expensive  they hang nicely and the clasp looks well made  i have two silver pendants that i like to wear often so it was important to get a chain for each that would withstand daily wear  additionally i have long hair which can sometimes be problematic when wearing chains  my hair can get caught in a clump near the clasp or i can inadvertantly break the chain when brushing my hair  i chose the box type chain and this type of clasp for these reasons as its the strongest chain available while still looking dainty  im very pleased with both the quality and the price  i tried to get the same kind of chain at our local department store and it was twice as much  you wont be disappointed,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
just got this bag  and a week now and it is everything i had hoped for  very roomy and replaced a backpack i had wanted an over the shoulder bag but did not want to sacrifice a lot of room and this bag is perfect  it is my work bag for lunch computer books ipods nice carryall,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
product is well made and looks good  unfortunately not quite what i was looking for,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
i bought this set as a replacement for when i sent my rings off for cleaning or sizing it looks very similar to the set i have however up close you can definitely tell that its not real good price and decent quality for a replacement set if you are going on vacation or something and dont want to ruin your real set,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
the chain is beautiful and very shiny  it goes perfectly with the cross pendant i purchased for him for valentines day it doesnt pull on his hair it is the perfect length and is stands out nicely with his work clothes  i would reccommend this product to anyone,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
great value buy it,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
these chains are lovely and an excellent value  i bought them to replace the base metal chain that come with a religious medal  it is a nice strong chain  thanks,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
i absolutely loved the dress got so many wonderful compliments will definitely order from this company again,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
best hat around made in usa cool with venting nice wide brim ask your dermatologist very comfortable made in usa,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
the xl is cut for a fat person,Positive,Negative,Neutral,Positive,Positive,5,5,1,3,3,3.5999999999999996,3.5999999999999996,2.3999999999999995,3.0
shirt fits well and ill probably buy at least one more  its also has very comfortable collar compared to my previous tux dress shirt of the same size,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
i had been looking for a replacement for a cigarette case id had for over 25 years and lost after reviewing several i settled on this one it was very well made the leather was soft not stiff or cheap looking i loved the little front pocket that kept my lighter handy and easy to keep up with there is even a small zippered pocket for change or whatever else i was very pleased with it unfortunately i had not read the description well enough and i discovered this case does not fit the 100s it was such a nice case that i gave it to my daughter rather than return it she has been more than pleased with it im hoping the new one i have ordered is as nice,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
"i bought this for my brother to wear as an undershirt for when he has to wear dress shirts or dressy sweaters and he loves them  his favorite part about these shirts is that you can barely feel the material in comparison to all of his cotton shirts  so theyre definitely lightthin material  he would never wear them as a regular shirt unless its in a casual setting eg to bed

regardless they work great for wearing under buttoned dress shirts or dressy sweaters and ill definitely be buying the white ones for him soon enough

oh as for the fit i obviously cant personally comment on it but for him the xl worked great  hes all around a huge guy height weight and his shoulders and while he normally wears xls sometimes they fit too tight on him due to his shoulders and neck  this xl fit perfectly with a little room to spare so if youre a bigger person with regards to your height and shoulders get your normal size otherwise definitely size down",Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
make sure to get one size up on this one  otherwise great dress the quality is excellent for the price,Positive,Positive,Positive,Negative,Negative,1,1,5,5,5,3.8,3.8,5.0,5.0
excellent product and service,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
comfortable and great looking too  got it for dancing cant wait to try it out,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
i just got my set and i love them they are the perfect size the gem is just the right size not to big completely believable its better than i expected it came in the cutest little gift box i will deffinately order from this company again,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
just what we anticipated getting,Positive,Neutral,Neutral,Positive,Positive,5,5,3,3,5,5.0,5.0,4.4,4.4
the chain is beautiful and looks strong  i bought it as a gift for a girlfriend to go with a pendant i purchased  i think she will love it,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
i have been wearing these for years because i like a light weight t shirt if you are looking for a heavy t this one is not for you,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
i normally wear a size 6 or 8 and ordered the large based on others reviews glad i didthere is no room to spare but it is cute and will work just fine for a costume,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
my husband works in the heat and loves this hat  it keeps him cool,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
great item but strap is already ripping i guess it can be fixed just not as durable as i thought,Positive,Positive,Positive,Positive,Positive,5,5,5,5,3,3.5999999999999996,3.5999999999999996,3.5999999999999996,3.5999999999999996
this is your standard halloween costume material and durability did the job for what it was intended and its adorable,Neutral,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
my 9 yo daughter was clear  she wanted a messenger bag preferably in turquoise with at least 3 pockets  this bag fit the bill perfectly  it has 3 large pockets which all close with heavyduty zippers  the largest pocket is big enough to carry a 3ring binder lunch bag several books notebooks folders and a jacket  there are several smaller pockets internally for pencils small notebooks phones etc  the handle is broad enough to not twist easily and can be adjusted to fit shorter or longer bodies  she has only used it for 3 weeks but so far it seems like it will hold up well throughout the year and she loves it  the bag we bought is mostly turquoise with a bit of white near the bottom  it is not the plaid one shown in the photo,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
i love it,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
great buythe case is very soft and fits kings only which is what my mom wanted only problem is shipping it arrived over a week later than was promised because it was sent all over the us i stead of straight to me,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
this is way too large  it looks great in the picture  has great color in the costume but definitely did not like it on me,Positive,Positive,Positive,Positive,Positive,5,5,5,5,1,2.2,2.2,2.2,2.2
it is a good costumenot sheer doesnt feel cheap  and it fit well i ordered the large so it would be long enough midthigh and it was  but the trim stitching was already unraveling at the end of the night,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
quality at a good price,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
"like the other reviewer i love the shape of this cuff but it hurts on the ear and gets caught in long hair  i have tried it on the lobe upper part of my ear and inside part of my ear and doesnt matter  its hard to get on and im constanly checking to make sure its there

even with all that i only took one star away beucase once on it is very cute if you can handle the discomfort",Negative,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
very well,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
was very large but i have muscular build so my waist is smaller than my back and shoulders,Positive,Neutral,Positive,Positive,Positive,5,5,3,5,5,5.0,5.0,4.4,5.0
great tote bag more like a messenger bag i carry a bunch of gadgets and electronics for my work and this has more than enough compartments to keep my things organized,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
this dress worked perfectly for a great gatsby themed wedding i am 52 125 pounds and the small fit perfectly,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
"these shirts are a bit too big and baggy should have gone with a medium
good quality though very soft",Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
hubby loves it he has two one for the yard and one for going out,Positive,Positive,Neutral,Positive,Positive,5,5,5,3,5,5.0,5.0,5.0,4.4
you get a lot of product for the money cant wait to see my husband wearing it,Positive,Neutral,Neutral,Positive,Positive,5,5,3,3,5,5.0,5.0,4.4,4.4
for the price this was ok  the fringe is not very thick rather spread out on the dress  the size was too small for me even though an xl usually fits and i have room,Positive,Positive,Positive,Positive,Positive,5,5,5,5,3,3.5999999999999996,3.5999999999999996,3.5999999999999996,3.5999999999999996
very nice,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
these are quality shirts that will help relive your golden years when going to polk high meant something,Neutral,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
had an awards dinner shirt came in good time fits good,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
great shirts they feel good and the cut is nice,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
the bag seems sturdy with good quality leather i especially like how the opening of the bag is reinforced with metal so it stays open wide making it easier to find things,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
have been using a cloth kit for too many years  just like the one i had about 35 years ago while in the service  great product,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
well made and handsome i like it a great deal,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
very big and cumbersome  my 7 year old son could not walk around with it and see where he was going  i put in lots of padding and it still did not fit  it sits in his room on a shelf instead of an active toy  he did like the sounds and visor that moved,Negative,Positive,Negative,Positive,Negative,5,1,5,1,3,3.5999999999999996,2.3999999999999995,3.5999999999999996,2.3999999999999995
i bought this dress for a costume party over the holidays i had read the reviews prior to buying it and it was mentioned many times that it ran a little small i usually wear a size large or size 12 i ordered the extra large and it fit perfect it was not too tight and very comfortable i got lots of compliments on the dress the fringe does seem to shed a bit but did not affect the look of the dress most of the other flapper dresses at the party had the same problem or the feathers were coming off easy to move around in and dance in as well arm holes were not too big or too tight which was great arrived earlier than the estimated ship date too so that was even better,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
after reading the reviews and reading that these booties ran large i ordered a size smaller than my grandson normally wears and they fit wonderfully with a  little room for growth when we put the booties on my grandson he liked them he kept sticking them in everyones face to see and when we put out the booties to wear he chooses these booties each time they are his favorite,Neutral,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
love this dress i felt very pretty and the material was sturdy,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
it was smaller than what i was expecting i had to cut them to be able to use them with my halloween costume,Neutral,Negative,Positive,Positive,Positive,5,5,1,5,3,3.5999999999999996,3.5999999999999996,2.3999999999999995,3.5999999999999996
im usually a size 4 but in dresses a 68 usually fits me better i got the 68 and found it was a tad too big but it still looked and felt great,Positive,Positive,Positive,Neutral,Positive,3,5,5,5,5,4.4,5.0,5.0,5.0
very soft and did not hurt my sons face  this one is so much nicer than most you see in stores,Neutral,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
im so pleased with the quality of this costume  not cheap and flimsy like most costumes  really love it  thanks,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
the mediums fit more like xl way to baggy who the hell picks these sizes,Positive,Negative,Positive,Positive,Positive,5,5,1,5,1,2.2,2.2,1.0,2.2
i bought them knowing they would be too short but i needed these for my bee club halloween party  i cant tell you how delighted i was  if i could have chosen the perfect fit this would be it  there were several items in this order but i went out of my way to write a review only on thiese tights  they are perfect  im 57 140 lbs,Neutral,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
perfect fit,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
"i got this one and the blue and purple and gave my wife and daughter 1st choice 3rd going to her aunt but they all share the 3 and trade off  fine by me long as they are happy
  sunlight makes them all sparkle but i think i like this one the best for its multicolor",Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
perfect for 8 year old  he has never had the luck of finding a costume hathelmet that fit until this one  it might be a little large for some children but buy some weatherstripping from your local hardware line the inside and you will have a great helmet that will grow with your little one excellent quality,Negative,Positive,Positive,Negative,Negative,1,1,5,5,5,3.8,3.8,5.0,5.0
"this case keeps your ipod the way its meant to be thin  i have the pink case which looks great with my white ipod  and it fits perfectly

it is a little more costly with the shipping but you get the armband etc etc  havent used any of the accesories yet

tip  if youre putting this case on a brand new ipod peel up the original plastic protecting the front of the ipod and cut just below the screen  this way your screen will still be protected in the original packaging and you can save the screen protector they send for a replacement

i do wish it covered more of the silver part near the usb and the armband holes in the back but hey obviously i understand you need to be able to plug it in and get the armband through the hold switch and headphone cutouts are perfect",Neutral,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
"i normally wear a size 8 i got the small as reviews said it ran big good call  the boot toppers as other reviewers called it are not so great but hey it is a costume  i plan to buy gogo boots for it later
with the fact its a costume in mind its great  as i am short 52 the skirt goes midthigh but i like that  im not uberconservative but im not an exhibitionist either
all in all its worth it
dont forget to check amazon for a lasso theres one for about 6  goes great with costume",Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
very cute i have large feet size 10 they were stretchy and adorable great price too fast shipping ,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
great for a costume,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
nicely made but ill have to wear a bandana under itit runs a bit big,Positive,Negative,Positive,Positive,Positive,5,5,1,5,5,5.0,5.0,3.8,5.0
was perfect for the price and the occasion the only problem was the fringes fell off relatively easily,Positive,Positive,Positive,Neutral,Neutral,3,3,5,5,5,4.4,4.4,5.0,5.0
it took several days to break these in which was fine i figured theyd last ive had them  year now and they need to be replaced the soles lasted about 9 months before developing the first hole the leather held up reasonably well but the stitching is starting to fray probably not awful for the price but the soles not even lasting a year sort of kills it for me,Negative,Negative,Positive,Negative,Negative,1,1,1,5,1,1.0,1.0,1.0,2.2
ck is a favorite underwear brand of mine for years because of repeatwashing durability along with use of good quality comfortable cotton these vnecked tee shirts are no exception id buy them again would have preferred slightly more length in the body but i am longwaisted perhaps a tall size would have been better for me but then the short sleeves tend to be too long so i went with the xl i would purchase these again and probably will,Negative,Positive,Positive,Negative,Negative,1,1,5,5,5,3.8,3.8,5.0,5.0
very nice not much stretch though it fit as expected so stretch wasnt a concern just nice to have a little give just in case,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
perfect for the occassion and it traveled well  looked good and was just as described he looked good in it and i may use it for a night shirt,Neutral,Positive,Positive,Negative,Negative,1,1,5,5,5,3.8,3.8,5.0,5.0
completed the costume for my daughters school project,Positive,Neutral,Neutral,Positive,Positive,5,5,3,3,5,5.0,5.0,4.4,4.4
fits geat and looks great on my 4mo baby,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
we purchased this set to be my wedding set as we are low on cash and i did not want something expensive for fear of losing it etc this set is absolutely beautiful i absolutely love the setting and the cut of the cz to me it doesnt scream fake but if you get close to it and really want to analyze it you will probably be able to tell its a cz although i think it sparkles and shines just as well or better than some diamonds personally the only thing that i think could be a little better is that it could be a little more scratch resistant but that could be the plating as i have had other sterling silver rings that werent plated that didnt scratch as easily gem avenue is a great seller and extremely helpful and quick in response time and shipment i will buy from them again if you are looking for a great looking set at a great price this is your set,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
very cute socks fit my size 10 feet perfectly and are even a little longer than i expected having bigger feet very cute with any shoes i love them with these black mary janes so cute,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
we tried these shirts in the pinpoint fabric but after washing they are the worst wrinkled shirt i have ever tried  i have a steam dryer and it looks like it was rolled into a ball wet and then dried awful  the quality is fine but if you iron your own shirts beware  probably okay if you use the cleaners,Negative,Negative,Negative,Negative,Negative,1,1,1,1,1,1.0,1.0,1.0,1.0
much too small,Positive,Neutral,Negative,Positive,Positive,5,5,3,1,3,3.5999999999999996,3.5999999999999996,3.0,2.3999999999999995
i love this hat it is very lightweight with sides wide enough to protect babys face if left down or folded up if he wanted to observe his surroundings the fact that is is a pure cotton was my reason to chose this model and i am glad i did  pretty color light thin but not flimsy or cheap looking great product,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
"came on time in a comically huge box overall an overpriced piece of plastic junk the seam down the center is crooked and the parts on front werent even snapped together this would be fine for something that cost 500 amazon sells it for over 20
 one button opens the visor but this function broke almost right away another button does nothing but cause a loud low quality voice screaming a countdown followed by the sound of a rocket blasting off i should point out the speaker is inside the helmet right beside the wearers ear it does this at top volume and the only way to stop it is to take it apart",Positive,Negative,Positive,Positive,Positive,5,5,1,5,1,2.2,2.2,1.0,2.2
bag was much larger than expected will fit 21 laptop easily and all cables not quite the messenger bag that i was expecting  more of a laptop bag still it was well made and sturdy,Negative,Positive,Positive,Negative,Negative,1,1,5,5,5,3.8,3.8,5.0,5.0
similar to other reviews costume came quickly i was hosting a speakeasy holiday party and didnt need to spend a lot of  so a costume fit the bill i expected and got costume quality which was cheap but better than spending 200 on a vintage dress i might not wear again i ordered a large i normally wear a size 1012 which can run from medium to large so i thought i was playing it safe but this dress was so tight in the hips that i could barely get it on my husband had to help me get into it and because the hips were so tight in the dress the costume ended up being ridiculously short so that i had to wear bike shorts underneath to keep it from being obscene im pretty sure flappers were known for loosefitting clothing not tight constrictive clothing im also pretty sure the modern woman could probably not fit into a real 1920s dress so the size definitely needs to be adjusted i would not order from california costumes again because of this,Negative,Positive,Positive,Positive,Positive,5,5,5,5,1,2.2,2.2,2.2,2.2
realy soft i like it,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
i bought this tote for school i have used it for a long time and it works great it is a very nice size and is comfortable to carry around on my shoulder i picked the white and pink bag but it gets dirty i take everything out of it and put it on a delicate cycle to wash and it looks nice and clean again,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
got 5 of these to go along with initial pendents i purchased for my bridesmaids they were even more beautiful than they were in the picture i cant wait to give it to them at my october wedding,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
"dont get me wrong i love these but wow the sizing is waaaay off i bought size 3 months hoping they would fit my 6 month old and they were still to big when they did finnally fit her they really didnt stay on well she has rather small feet so this might not be the shoe for her saddly we love minnetonka in this house so we will continue to buy them just maybe not thier baby shoes
also kind of annoying to lace up",Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
all good,Positive,Positive,Positive,Negative,Negative,1,1,5,5,5,3.8,3.8,5.0,5.0
is very small doesnt  fit my smokes,Negative,Negative,Positive,Positive,Positive,5,5,1,5,1,2.2,2.2,1.0,2.2
im 57 and typically wear a size 4 sometimes 6 and bought a size small it fit around the hips though the skirt was goofy puffythe top part seemed snug but its not like wearing a corsetit would often crease up on the sides which i found kind of annoying because it just wasnt flattering around the mid section  also i definitely did not have enough cleavage to fill in the bust area  although i did not find the costume very flattering on my body type it would probably look much better on someone with more of an hourglass figure i still got a lot of compliments on halloween like the other reviews the cape was choking me so i couldnt wear it the entire night  the material is pretty goodi think the costume will hold up for a few more wears  not bad for what i paid for it,Positive,Positive,Positive,Positive,Positive,5,5,5,5,3,3.5999999999999996,3.5999999999999996,3.5999999999999996,3.5999999999999996
the product is excellent good design color quality and style he covered my expectations resulting a good investment i recommend this product ,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
really good quality costume but sizes a little on the smaller side otherwise very happy,Positive,Positive,Positive,Positive,Positive,5,5,5,5,3,3.5999999999999996,3.5999999999999996,3.5999999999999996,3.5999999999999996
we kept this shirt since we bought another type as well it looks great and wears well,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
love this case i have had about 10 of them over the years so glad you carry them,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
the outfit ia cute but the cuffs and bulky and weird i actually ordered this for the cuffs and headband but am going to use the suit amd cuffs only the boot covers are way to big the cuffs are ok after i safety pin them smaller the headband is cheaper than the cheap one i have the cape and dress are nice but i am going to have to pin the waist smaller too overall nice and would recommend it,Negative,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
best costume ever follow the directions and go down a size,Positive,Positive,Positive,Negative,Negative,1,1,5,5,5,3.8,3.8,5.0,5.0
this beautiful ring duo is absolutely stunning and very exquisite when i put it on my jaw dropped it was gorgeous i was very satisfied with this purchase i have purchased rings before that have costed an arm and a leg that dont look this good,Negative,Positive,Positive,Negative,Negative,1,1,5,5,5,3.8,3.8,5.0,5.0
"we purchased this item to go along with an astronaut suit our son wears he has gone as far as wearing it to school to his friends house and had his mom not stopped him he would have worn it to church accompanied by a jumpsuit gloves backpack and boots all sold seperately this helmet really awakens a childs imagination the visor openscloses for realistic play and the microphone and sound effects only add to the experience my sons interest in space and exploring the universe has increased since the purchase and i have no doubt the item only enhanced his interest

a recommended item for any child who wishes to explore the galaxy",Positive,Positive,Positive,Negative,Negative,1,1,5,5,5,3.8,3.8,5.0,5.0
"size was excellent the quality was high very comfortable in confusion
calvin klein brand is well known and i would like to always wear this brand",Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
husbands hat  het likes everything about it except that it hits the car headrest when he drives  im going to steam it and see if i can make it a little more curved,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
feels like extremely poor quality would never buy again,Positive,Negative,Negative,Positive,Positive,5,5,1,1,1,2.2,2.2,1.0,1.0
it fits pretty good if you wear anything above a size six i would recommend getting a medium its super cute and everything fit pretty well ,Negative,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
nice,Positive,Positive,Positive,Positive,Positive,5,5,5,5,5,5.0,5.0,5.0,5.0
