reviewText,summary,sentiment,review_length,VADER_Sentiment,TextBlob_Sentiment
very comfortable shoes i have wide feet with falling arches these help both and are comfortable enough that i can be in them all day long,Very comfortable shoes. I have wide feet with falling arches,Positive,26,Positive,Positive
the sneakers are very comfortable and fit to size,Five Stars,Positive,9,Positive,Positive
fit good,Five Stars,Positive,2,Positive,Positive
i always buy the same size this ones came to large,large shoe,Neutral,11,Neutral,Positive
good quality,Five Stars,Positive,2,Positive,Positive
fits perfect,Five Stars,Positive,2,Positive,Positive
size 5 very comfortable shoes love,Very comfortable shoes. Love,Positive,6,Positive,Positive
i have pretty high arches and my calves always hurt at the gym with other shoes i have been on the hunt for a good cross trainer that i can use to lift take gym classes and lightly jogrun on the treadmill these have been wonderful i do not ever have any pain in my calves or my feet when wearing these and they fit like a glove highly recommend,I have pretty high arches and my calves always hurt at the ...,Positive,70,Positive,Positive
fit true to size,Five Stars,Positive,4,Positive,Positive
love love love,Five Stars,Positive,3,Positive,Positive
there very nice,Nice,Positive,3,Positive,Positive
they run big and are super uncomfortable and the soles squeak they do not breathe at all,Two Stars,Negative,17,Positive,Negative
very comfortable,Four Stars,Positive,2,Positive,Positive
perfect fit brand new in new box completely perfect condition and on sale awesome highly reccomend super cute shoes,Super cute and on sale!!,Positive,19,Positive,Positive
love great price too,Exactly what I wanted,Positive,4,Positive,Positive
just do it ,Five Stars,Positive,3,Neutral,Neutral
a nice lightweight shoe not a lot of cushion so i would not run long distances in them,Decent little shoe for the price.,Positive,18,Positive,Positive
this shoe is just ok its not as comfortable as i was expecting compared to my last pair of nike shoes i hope they hold up,Its not as comfortable as I was expecting,Neutral,26,Positive,Positive
c,Five Stars,Positive,1,Neutral,Neutral
squeaky,Three Stars,Neutral,1,Neutral,Neutral
these are the most comfortable shoes i have used for working out extremely light weight and flexible loved them so much i purchased two more pair in different colors,Best shoes ever!!!,Positive,29,Positive,Positive
love the lightweight and the fit,Five Stars,Positive,6,Positive,Positive
this is my second pair of these shoes  i love the fit and they provide support for walking  i like the way the shoes fit around my ankle as many shoes are uncomfortable because they come up too high in the back  try them,I love the fit and they provide support for walking,Positive,44,Positive,Positive
bought these for my daughter and she loves them  she tried them on at a retail store a couple months prior so i knew her exact size,Bought these for my daughter and she loves them. ...,Positive,27,Positive,Positive
as expected,Five Stars,Positive,2,Neutral,Negative
fit to size comfortable,Five Stars,Positive,4,Positive,Positive
very comfortable shoes this is my second pair of this style of shoe because i loved them that much,Very comfortable shoes. This is my second pair of this ...,Positive,19,Positive,Positive
super comfortable and fit my small feet perfectly i have flat feet so a lot of shoes are not comfortable for long periods of time i can wear the shoe all day long and they are super comfortable they are light colored so any dirt will be seen right away but they are easy to clean compared to other shoes i have had would definitely buy another pair in a different color,LOVE my new sneakers!,Positive,72,Positive,Positive
these are the best shoes i have ever use for my workouts i love them and buy them in bulk lol,These are the best shoes I have ever use for my workouts,Positive,21,Positive,Positive
it looks a bit nicer on the picture its very light in such a way that when i held the box i wondered if there was just paper filling inside they are comfortable for the most good looking training shoes overall,They are comfortable for the most but just a bit narrow,Positive,41,Positive,Positive
the sneakers are very comfortable and fit to size,Five Stars,Positive,9,Positive,Positive
perfect,Five Stars,Positive,1,Positive,Positive
super cute,Five Stars,Positive,2,Positive,Positive
love them ,Five Stars,Positive,2,Positive,Positive
love great price too,Exactly what I wanted,Positive,4,Positive,Positive
love them,Five Stars,Positive,2,Positive,Positive
i love my tennis shoes,Five Stars,Positive,5,Positive,Positive
these shoes are extremely comfortable and fit as expected  will purchase again,Five Stars,Positive,12,Positive,Positive
these run large i wear a 95 exactly in every shoe but these i bought a 9 and the toe area is pretty wide plus plenty long even with socks very comfy and very nice looking shoe i love them but glad i was able to try them on before purchasing,and the toe area is pretty wide plus plenty long even with socks,Positive,51,Positive,Positive
purchased these for our teenage daughter she loves them for both casual wear and sports,Five Stars,Positive,15,Positive,Negative
just do it ,Five Stars,Positive,3,Neutral,Neutral
l always buy nike shoes and been happy so far but this time my left shoe fit perfectly while the right shoe was too loose on my heal and when i tighten it more it was hurting side of my foot,l always buy Nike shoes and been happy so far,Neutral,41,Positive,Positive
color was not at all what i expected  it was more orange then red  not sure that i am going to keep them,Color was not at all what i expected. It ...,Negative,23,Negative,Positive
nice fit,Four Stars,Positive,2,Positive,Positive
cute and comfortable,Five Stars,Positive,3,Positive,Positive
my daughter loves them great fit,Great fit!,Positive,6,Positive,Positive
ugh way to large  is this for a man,Nope,Neutral,9,Negative,Positive
ok but too big,Three Stars,Neutral,4,Positive,Positive
nice looking and fit nice,Four Stars,Positive,5,Positive,Positive
love them,Five Stars,Positive,2,Positive,Positive
very comfortable i love wearing them,Five Stars,Positive,6,Positive,Positive
second pair comfortable and great for people with bunion issues or previous surgeries  sole wears great,staple sneakers,Positive,16,Positive,Positive
they looked very cheap,Returned...looked cheap,Negative,4,Neutral,Positive
very comfortable and fits perfectly,Five Stars,Positive,5,Positive,Positive
not pretty for fashion but great around the house and work,Three Stars,Neutral,11,Positive,Positive
they fit great look great are quite comfortable and are just what i was looking for,Perfect cross trainers,Positive,16,Positive,Positive
nice pants but too small for a medium return it,Returned also,Negative,10,Positive,Positive
super comfortable and extremely lightweight great for crossfit,Five Stars,Positive,8,Positive,Positive
really comfortable and very cute,Five Stars,Positive,5,Positive,Positive
so lightweight and awesome,Five Stars,Positive,4,Positive,Positive
they are ugly the toe is rounded and the material is weird the nike womens flex trainer 6 is way better looking and costs about the same,the Nike Womens Flex Trainer 6 is way better looking and costs about the same,Neutral,27,Negative,Negative
good quality,Five Stars,Positive,2,Positive,Positive
these shoes fit like a glove light but very supportive i have worn them several times and feel very light on my feet,These shoes fit like a glove,Positive,23,Positive,Positive
love the fit,Five Stars,Positive,3,Positive,Positive
i have worn these to work out for 5 days in a row now initially my arches ached but over time the discomfort subsided entirely i have done everything from bootcamps resistance training running and zumba so yeah they are truly crosstrainers ,Does the job!,Positive,42,Positive,Neutral
lightweight decent arch support and comfortably to wear all day doing regular activity and sprinting,decent arch support and comfortably to wear all day doing regular activity and sprinting,Positive,15,Positive,Positive
i have had this style before in a different color and have received many compliments on the shoes  they are great walking shoes  i wear orthotics and these shoes are one of the best i have found to accommodate them for fit,Love these shoes,Positive,42,Positive,Positive
the shoes fit well in the arch area they are a little wider in the toe area of the shoe you feel like you have a lot of room this does not make the shoe uncomfortable just had to get used to it love the shoe,you feel like you have a lot of room,Positive,46,Positive,Positive
perfect,Just what I wanted!,Positive,1,Positive,Positive
i am so happy with this purchase i feel like i am barely wearing a sneaker when working out another plus is that when i take off my sneaker my sock is barely sweaty i have never had that experience with a shoe the shoe is also very attractive and flattering and looks nice on my feet,I am so happy with this purchase,Positive,57,Positive,Positive
i have worn these to work out for 5 days in a row now initially my arches ached but over time the discomfort subsided entirely i have done everything from bootcamps resistance training running and zumba so yeah they are truly crosstrainers ,Does the job!,Positive,42,Positive,Neutral
love these shoes workout in them 34 times a week at the gym i do treadmill stairmaster cardio classes and weight lifting lightweight and versatile shoe,Great shoe for the price!,Positive,26,Positive,Positive
i wore these shoe one time from the airport in omaha ne to the airport in phoenix az when i arrived in phoenix the left shoesole started squeaking and will not stop i want to return for a refund need instructions for returning as no paperwork was in my package when it arrived,Squeaky soles,Negative,53,Negative,Neutral
there very nice,Nice,Positive,3,Positive,Positive
love these lightweight shoes absolute favorite always order half a size bigger with nike shoes than with every other shoe in my closet,Perfect. Lightweight and comfortable all day,Positive,23,Positive,Positive
best shoes ever,Five Stars,Positive,3,Positive,Positive
love them,Five Stars,Positive,2,Positive,Positive
great arch support and comfortable,Great cross trainer,Positive,5,Positive,Positive
on time nice sneakers fit as expected,nice sneakers. Fit as expected,Positive,7,Positive,Positive
took other reviewers advice and went up half size and it was too large i thought this was a more socklike fit but it had a tongue that came up high on my ankle not at all sock like nice looking and very light weight with a rounded square toe that left plenty of room front foot and toes these just were not what i was looking for,Not as expected,Neutral,68,Positive,Positive
very comfortable i love wearing them,Five Stars,Positive,6,Positive,Positive
i love my tennis shoes,Five Stars,Positive,5,Positive,Positive
i love these and have them in a light blue too very light weight airy and comfortable,Five Stars,Positive,17,Positive,Positive
"for the price i spent on the pair of shoes id say its as good as expected
its comfortable and does not hurt my feet when i run",Pretty comfortable pair of running shoes,Positive,28,Positive,Positive
just what i needed for group fight class quick movements and footwork are so easy in these sneakers love them,Perfect,Positive,20,Positive,Positive
love these shoes,Very confortable!,Positive,3,Positive,Positive
they fit as expected and perfect for training the shoelaces are a little bit too long other than that these shoes are as i expected them ,They fit as expected and perfect for training,Positive,26,Positive,Positive
super cute,Five Stars,Positive,2,Positive,Positive
tried one in the store and bought it online but it was a different  kind of shoe  too big  different fit ,Tried one in the store and bought it online but ...,Negative,21,Positive,Positive
nikes usually run small and i am a 75 so i ordered these in an 8 and they were actually very roomy  i love them but they are definitely bright orangecoral and not bright crimson like the description said  i thought they would be more red in hue to wear with my ohio state clothes but instead i use them for running,I love them but they are definitely bright orange/coral and not ...,Positive,62,Positive,Positive
bought these for my daughter and she loves them  she tried them on at a retail store a couple months prior so i knew her exact size,Bought these for my daughter and she loves them. ...,Positive,27,Positive,Positive
most comfortable training shoes i have worn in a long time,Lightweight yet supportive,Positive,11,Positive,Positive
finally after trying about 10 pairs of nikes these were a perfect fit  they are light and very comfortable i really just forget about my feet when i am wearing them,these were a perfect fit. They are light and very comfortable,Positive,31,Positive,Positive
not a fan shoes looked great but too narrow for most feet,Shoes looked great but too narrow for most feet,Neutral,12,Positive,Positive
not a fan shoes looked great but too narrow for most feet,Shoes looked great but too narrow for most feet,Neutral,12,Positive,Positive
i returned themfound a ryka pair i liked better,found a Ryka pair I liked,Neutral,9,Positive,Positive
best tennis shoes i have had all my life very comfortable out the box i would buy 10 pairs of these shoes if had the money,Very Comfortable,Positive,26,Positive,Positive
perfect,Five Stars,Positive,1,Positive,Positive
i love these shoes  they fit as expected and they look really nice on  these shoes have a narrow base which i really like  i do not like the ones that make your foot look wide,I love these shoes,Positive,36,Positive,Positive
the shoes are true to size i am used to wearing running shoes so these have been an adjustment overall the shoe is nice and provides well for my hiit and grit classes i take,the shoe is nice and provides well for my HIIT and Grit classes ...,Positive,35,Positive,Positive
most comfortable training shoes i have worn in a long time,Lightweight yet supportive,Positive,11,Positive,Positive
comfortable,Five Stars,Positive,1,Positive,Positive
i love these shoes great arch support and perfect for cardio,Five Stars,Positive,11,Positive,Positive
love these shoes workout in them 34 times a week at the gym i do treadmill stairmaster cardio classes and weight lifting lightweight and versatile shoe,Great shoe for the price!,Positive,26,Positive,Positive
it looks a bit nicer on the picture its very light in such a way that when i held the box i wondered if there was just paper filling inside they are comfortable for the most good looking training shoes overall,They are comfortable for the most but just a bit narrow,Positive,41,Positive,Positive
i was really excited when i opened the box to see the color is exactly like the image shows i have the nike flex tr 5 and used the same size to order these they are a little bigger than expected but still comfortable,... opened the box to see the color is exactly like the image shows,Positive,44,Positive,Positive
daughter loves them,Five Stars,Positive,3,Positive,Neutral
very comfortable,Four Stars,Positive,2,Positive,Positive
i use these for my cardio dance class and they are perfect and very cute i would definitely recommend they also cam earlier than expected,Great work out shoe,Positive,25,Positive,Positive
daughter loves them,Five Stars,Positive,3,Positive,Neutral
comfortable consistent each time i order and good looking,Sleek and sporty,Positive,9,Positive,Positive
love these shoes for circuit training,Five Stars,Positive,6,Positive,Positive
these are so cute and comfortable and very light i just received them today and the fit is perfect i normally wear an 8 12 and they are true to size,Great fit!,Positive,31,Positive,Positive
super comfortable i joined cross fit and this is the perfect shoe,Super comfortable. I joined Cross Fit and this is ...,Positive,12,Positive,Positive
love them,Five Stars,Positive,2,Positive,Positive
they were a gift  to my daughter she loved them,Their Cute and Pink,Positive,10,Positive,Positive
this shoe is just ok its not as comfortable as i was expecting compared to my last pair of nike shoes i hope they hold up,Its not as comfortable as I was expecting,Neutral,26,Positive,Positive
arrived on time i probably should have gone with a 75 instead of an 8 because they do seem a little big but if i wear thick socks they are fine also they can sometimes make a very annoying squeaky noise when i run on certain surfaces so i am trying to get them worn in overall i am satisfied with my purchase,but if I wear thick socks they are fine. Also,Positive,63,Positive,Negative
i am not sure i was shipped the correct style  the ones i received are a lot clunkier than i expected although the quality is fine,Huh,Negative,26,Negative,Positive
love them  i ordered an 85 because i usually wear that size but these are a bit big i wish i ordered an 8 they are really comfortable and i enjoy wearing them,"Look amazing, runs slightly big.",Positive,33,Positive,Positive
as expected,Five Stars,Positive,2,Neutral,Negative
"for the price i spent on the pair of shoes id say its as good as expected
its comfortable and does not hurt my feet when i run",Pretty comfortable pair of running shoes,Positive,28,Positive,Positive
superrrr thigh high i am 54 and it easily reaches 34 up my thigh,Great!!! Very high!,Positive,14,Positive,Positive
fit finedid not like color in person,Three Stars,Neutral,7,Positive,Positive
great shoes  was looking for something to replace my barefeet so i can wear orthotics while kickboxing these are light weight hug my feet comfortably and have a thinner upper so i can still feel the bag when i kick and they have good lateral stability my feet are on the narrow side so its hard to find shoes that are snug enough these are perfect oh and they are really cute too,Great for kickboxing,Positive,73,Positive,Positive
wife loves them,Five Stars,Positive,3,Positive,Neutral
great price for the product though the sizes tend to be bigger based on mens size i think  there was not a size chart to refer to when i was ordering so i ended up buying two each at a difference size,size runs big,Positive,42,Positive,Positive
there very nice,Nice,Positive,3,Positive,Positive
these shoes are great  this is the second pair that i have purchased and i love them,Really Comfortable Shoes,Positive,17,Positive,Positive
exactly what i expected comfortable and chic,Comfortable and,Positive,7,Positive,Positive
great shoe very comfortable,Five Stars,Positive,4,Positive,Positive
fit comfortable,Five Stars,Positive,2,Positive,Positive
love it super comfortable and nice got more than i expected super flexible great for training definetly recommend it,Love it!! Definetly recommend it,Positive,19,Positive,Positive
in really like these i wear between a 995 womens i got the 95 and they fit perfectly they are light weight but have good support i will buy another pair,Great Shoe,Positive,31,Positive,Positive
picky daughter actually loves them,Worth it.,Positive,5,Positive,Neutral
comfortable,Five Stars,Positive,1,Positive,Positive
love these shoes,Very confortable!,Positive,3,Positive,Positive
just too big otherwise i liked them,Four Stars,Positive,7,Positive,Positive
i wear these everyday to work the gym etc,Five Stars,Positive,9,Neutral,Negative
did not fit well was not comfortable switched to fruit of the loom fruit of the loom are somewhat oversized but fit well and are very comfortable,"Was not comfortable. Switched to ""Fruit of the loom""",Negative,27,Negative,Positive
good light weight shoehad to add insole for more support,Four Stars,Positive,10,Positive,Positive
just what i needed for group fight class quick movements and footwork are so easy in these sneakers love them,Perfect,Positive,20,Positive,Positive
excellent,Five Stars,Positive,1,Positive,Positive
my new gym shoes love them,Love,Positive,6,Positive,Positive
no arch support but l love the colors,Three Stars,Neutral,8,Positive,Positive
straight out of the box these shoes are great very lightweight and fits comfortably on my feet like a glove i love most especially that the sole is not bulky like my previous running shoes  i hated those things lol i would give them a shot and they are great for the price,these shoes are great! Very lightweight and fits comfortably on my feet ...,Positive,53,Positive,Positive
i really love these shoes  they are attractive and very comfortable  they work well for my daily workout and fit well,Attractive and fit well,Positive,21,Positive,Positive
nice product,Four Stars,Positive,2,Positive,Positive
very low cut heel so if you training and pushing sleds  i ran right out of shoes although the traction on toe and heel are great,Low cut heels,Neutral,26,Positive,Positive
i love these shoes  they fit as expected and they look really nice on  these shoes have a narrow base which i really like  i do not like the ones that make your foot look wide,I love these shoes,Positive,36,Positive,Positive
good for nonaerobic workout mesh was very comfortable but no support for lateral movrment,Not for aerobic exercise,Neutral,14,Positive,Positive
tried a lot of shoes for cross training and these were the best,... of shoes for cross training and these were the best!,Positive,13,Positive,Positive
they run big and are super uncomfortable and the soles squeak they do not breathe at all,Two Stars,Negative,17,Positive,Negative
bought these shoes with hiit in mind but not too sure how i like the fit on my foot first time to wear them not great for running maybe after they are broken in a little they will get better if you just need a comfortable pair of shoes for walking they are fine,OK,Neutral,54,Positive,Positive
absolutely love these shoes and color they are perfect for running i run roughly 4 miles 3x per week this is my second or 3rd pair of this exact style fit is perfect,Absolutely love these shoes and color,Positive,33,Positive,Positive
wrong shoes,One Star,Negative,2,Negative,Negative
i really like them,Four Stars,Positive,4,Positive,Positive
love the fit,Five Stars,Positive,3,Positive,Positive
good fit even after washing in hot water to force shrinking i have a 30 inch inseam and 34 waist and got a medium size note that these sweatpants are very thick so not good for warm climates good quality and great price,Good fit,Positive,43,Positive,Positive
look better than the picture very comfortable great support,PERFECT,Positive,9,Positive,Positive
very comfortable,Five Stars,Positive,2,Positive,Positive
in really like these i wear between a 995 womens i got the 95 and they fit perfectly they are light weight but have good support i will buy another pair,Great Shoe,Positive,31,Positive,Positive
these are my favorite walk around shoes i can wear them all day and not be in pain love them,Great for walking!,Positive,20,Positive,Positive
size really depends on the brand  i wear a 65 in nike and they fit me perfectly  these shoes are comfortable they wrap around my feet like a bandage but do not restrict movement,Perfect for the gym,Positive,34,Positive,Positive
love these shoes i have worn them all day and found them really comfortable with no aching feet at the end of the day fantastic colour and true to size i also bought  nike womens flex supreme tr 3 pnk pwmtllc slvrcl grywhite training shoe and these shoes are slightly more comfortable than those even though they look very similar,Love them,Positive,60,Positive,Positive
they are super comfortable loving them,Five Stars,Positive,6,Positive,Positive
perfect fit as always,5 stars,Positive,4,Positive,Positive
perf,So Perf.,Positive,1,Neutral,Neutral
not a fan shoes looked great but too narrow for most feet,Shoes looked great but too narrow for most feet,Neutral,12,Positive,Positive
i liked these shoes a lot very light weight i did not give a 5 because the color was a little lighter than i thought it was going to be but still a great shoe very comfortable,I liked these shoes a lot,Positive,37,Positive,Positive
nice,Three Stars,Neutral,1,Positive,Positive
loved the products and services,Five Stars,Positive,5,Positive,Positive
these shoes fit like a glove light but very supportive i have worn them several times and feel very light on my feet,These shoes fit like a glove,Positive,23,Positive,Positive
super light and very comfortable i am a runner and they lack a bit in arch support so the soles of my feet are a sore i am going to add an insert to try fix the problem,Lack support but overall good shoe,Neutral,38,Positive,Positive
very nice shoe just a bit to snugsmall for my foot the flex wire really makes it the shoe fit tight to your foot i need more wiggle room in my footwear otherwise i would have kept them,Fits snug,Neutral,38,Positive,Positive
perfect,Five Stars,Positive,1,Positive,Positive
put them on and walked 3 hours with no problem love them so light feeling,Love them! So light feeling,Positive,15,Positive,Positive
love them,Five Stars,Positive,2,Positive,Positive
purchased for my daughter for gym class  she loves them  very cute and very comfortable,Great shoes.,Positive,15,Positive,Positive
these are as far as comfort goes the most comfortable pair of sneakers i have i suffer from sciatica pain that goes into my feet i have difficulty finding the proper support and comfort in shoes i would recommend these most definitely,These are as far as comfort goes the most comfortable pair of sneakers I have I suffer from sciatica ...,Positive,42,Positive,Positive
after my purchased i found out they are overpriced they feel good but i will not recommended if you need wide fit,They feel good but I will not recommended if you need Wide ...,Neutral,22,Positive,Positive
i absolutely love these shoes these are my absolute favorite so light and comfortable these are actually my 2nd pair i am still wearing my 1st pair after 2 years and they look good still i am just afraid they are going to disappear and i want a back up pair for when my 1st pair wears out these have been the best shoes i have owned,I absolutely LOVE these shoes,Positive,67,Positive,Positive
i have pretty high arches and my calves always hurt at the gym with other shoes i have been on the hunt for a good cross trainer that i can use to lift take gym classes and lightly jogrun on the treadmill these have been wonderful i do not ever have any pain in my calves or my feet when wearing these and they fit like a glove highly recommend,I have pretty high arches and my calves always hurt at the ...,Positive,70,Positive,Positive
best sneakers i have ever purchased,Five Stars,Positive,6,Positive,Positive
fit like gloves to my feet perfect for workouts,Five Stars,Positive,9,Positive,Positive
they were a gift  to my daughter she loved them,Their Cute and Pink,Positive,10,Positive,Positive
very nice shoes  comfortable,Five Stars,Positive,4,Positive,Positive
so lightweight and awesome,Five Stars,Positive,4,Positive,Positive
very low cut heel so if you training and pushing sleds  i ran right out of shoes although the traction on toe and heel are great,Low cut heels,Neutral,26,Positive,Positive
love these shoes workout in them 34 times a week at the gym i do treadmill stairmaster cardio classes and weight lifting lightweight and versatile shoe,Great shoe for the price!,Positive,26,Positive,Positive
my wife loves these shoes we have both been wearing sketchers and new balance for several years and recently we have both purchased nike there is a reason why nike is still number 1 after all these years you just cannot beat their comfort,My wife loves these shoes. We have both been ...,Positive,44,Positive,Positive
love these shoes i have been buying nikes for years now i bought this pair for work and everyday wear and another pair for working out and active wear they also last a long time in my opinion especially if you take care of them,Classically comfortable and durable,Positive,45,Positive,Positive
i always buy the same size this ones came to large,large shoe,Neutral,11,Neutral,Positive
just do it ,Five Stars,Positive,3,Neutral,Neutral
really comfy and nice color,Great and comfy for sports,Positive,5,Positive,Positive
comfortable,Five Stars,Positive,1,Positive,Positive
wore these for the first time hiking the bluffs not the best traction on well worn rocks but super comfy no blisters no achilles pain like with other shoes will continue to purchase nike shoes because my feet love them for all activities  except my home workouts they drag pretty hard on the carpet,Love,Positive,54,Positive,Positive
super cute shoe however runs wide and big i am a size 10 however this size 10 is too big i went to a sporting goods store and tried the same shoe on  turns out with this particular shoe i am a 95 so order half the size you normally are,Cute,Neutral,51,Positive,Positive
just too big otherwise i liked them,Four Stars,Positive,7,Positive,Positive
great super comfy and cute no issues and fit perfect,perfect,Positive,10,Positive,Positive
i was shocked at how small these shoes were not true at all to size and i own multiple shoes in this brand the quality could have been better in my opinion  very little support from the upper,"Too small, flimsy upper",Neutral,38,Positive,Negative
great product and fast shipping,Five Stars,Positive,5,Positive,Positive
this is a very attractive shoe it is true to size and fits as expected very satisfied with the seller  delivered on time,Very satisfied with the seller - delivered on time,Positive,23,Positive,Positive
love them,Five Stars,Positive,2,Positive,Positive
cute and comfortable,Five Stars,Positive,3,Positive,Positive
bought these as my back up shoes but they have turned into my daily ones i go to so comfortable and my feet do not hurt after long hours on my feet i own a cleaning business so i need my feet not to hurt in the middle of the day,Honestly Fantastic Shoes,Positive,51,Positive,Positive
love the color and fit i use them to work on at the gym on the treadmill and they are very light and comfortable,Love the color and fit,Positive,24,Positive,Positive
on time nice sneakers fit as expected,nice sneakers. Fit as expected,Positive,7,Positive,Positive
just do it ,Five Stars,Positive,3,Neutral,Neutral
these shoes look really great however slightly loose the problems with lack of support arose when i exercised it feels like there is little to no support in them possibly this is a shoe more geared for an office environment or short walking distances,Unnacceptable. Zero support,Neutral,44,Positive,Positive
"they are fine for the value particularly since i lose so many
reading glasses  some of the screws do require constant
tightening",loose screws,Neutral,22,Negative,Positive
not a lot of arch support but really lightweight,Four Stars,Positive,9,Positive,Positive
super comfy,Five Stars,Positive,2,Positive,Positive
very comfy if they had pockets they would be awesome i bought these for me to lounge around in and my husband has stolen them i might have to buy another pair,Comfy and warm.,Positive,32,Positive,Positive
fit well,Five Stars,Positive,2,Positive,Positive
